date,open,high,low,close,year,month
2010-09-30,1.2704,1.3683,1.2644,1.3659,2010,9
2010-10-31,1.3659999999999999,1.4158,1.3629,1.3980000000000001,2010,10
2010-11-30,1.3979,1.4281,1.2968,1.3009,2010,11
2010-12-31,1.3008,1.3498,1.3008,1.3364,2010,12
2011-01-31,1.3345,1.3757,1.2873,1.3728,2011,1
2011-02-28,1.3727,1.386,1.3427,1.3805,2011,2
2011-03-31,1.3804,1.4247,1.3742,1.4163,2011,3
2011-04-30,1.4164,1.4881,1.4061,1.4807,2011,4
2011-05-31,1.4816,1.4939,1.3968,1.4421,2011,5
2011-06-30,1.442,1.4695,1.4072,1.4492,2011,6
2011-07-31,1.4491,1.4577,1.3836,1.4385,2011,7
2011-08-31,1.4384,1.4548,1.4054,1.4365,2011,8
2011-09-30,1.4366,1.4376,1.3361,1.3387,2011,9
2011-10-31,1.3344,1.4247,1.3145,1.3843,2011,10
2011-11-30,1.3844,1.3867,1.3212,1.3466,2011,11
2011-12-31,1.3467,1.3548,1.28577,1.2957299999999998,2011,12
2012-01-31,1.29324,1.32333,1.26253,1.30661,2012,1
2012-02-29,1.3066,1.34856,1.29736,1.33463,2012,2
2012-03-31,1.33464,1.33846,1.30033,1.33436,2012,3
2012-04-30,1.33602,1.33796,1.2994,1.32428,2012,4
2012-05-31,1.32429,1.32829,1.23231,1.23463,2012,5
2012-06-30,1.23461,1.27471,1.2287700000000001,1.2660200000000001,2012,6
2012-07-31,1.26769,1.26797,1.20414,1.22955,2012,7
2012-08-31,1.22957,1.26369,1.2133200000000002,1.25786,2012,8
2012-09-30,1.2570700000000001,1.3170899999999999,1.2501,1.28199,2012,9
2012-10-31,1.2820200000000002,1.31387,1.28158,1.29636,2012,10
2012-11-30,1.29634,1.30267,1.2660799999999999,1.2986,2012,11
2012-12-31,1.29824,1.33075,1.2876100000000001,1.31928,2012,12
2013-01-31,1.32041,1.36321,1.29968,1.36225,2013,1
2013-02-28,1.36227,1.3710200000000001,1.30176,1.3073700000000001,2013,2
2013-03-31,1.30738,1.31335,1.27505,1.27811,2013,3
2013-04-30,1.27813,1.32008,1.2745,1.31626,2013,4
2013-05-31,1.3162399999999999,1.32421,1.27957,1.29976,2013,5
2013-06-30,1.29932,1.34162,1.2954700000000001,1.30226,2013,6
2013-07-31,1.30227,1.3344,1.27545,1.3274700000000001,2013,7
2013-08-31,1.32746,1.34513,1.31732,1.32207,2013,8
2013-09-30,1.32133,1.3567799999999999,1.3104,1.3534,2013,9
2013-10-31,1.35342,1.38315,1.34721,1.35554,2013,10
2013-11-30,1.35555,1.36209,1.32948,1.35896,2013,11
2013-12-31,1.3586799999999999,1.3892200000000001,1.35237,1.37574,2013,12
2014-01-31,1.37615,1.37744,1.3478299999999999,1.3486200000000002,2014,1
2014-02-28,1.34837,1.38239,1.3476299999999999,1.3801700000000001,2014,2
2014-03-31,1.37592,1.3966,1.3704,1.37739,2014,3
2014-04-30,1.3774,1.39047,1.36719,1.38691,2014,4
2014-05-31,1.38693,1.39927,1.3585399999999999,1.36329,2014,5
2014-06-30,1.35962,1.36969,1.3502299999999998,1.36863,2014,6
2014-07-31,1.3686399999999999,1.36996,1.33661,1.33873,2014,7
2014-08-31,1.3387200000000001,1.3444,1.31184,1.31189,2014,8
2014-09-30,1.3119,1.31592,1.2570299999999999,1.2616,2014,9
2014-10-31,1.26159,1.2886,1.2485600000000001,1.25222,2014,10
2014-11-30,1.25058,1.25975,1.23579,1.24543,2014,11
2014-12-31,1.24543,1.25698,1.20959,1.20969,2014,12
2015-01-31,1.20965,1.21072,1.10978,1.12839,2015,1
2015-02-28,1.13105,1.1534,1.1175899999999999,1.11914,2015,2
2015-03-31,1.11817,1.12395,1.04623,1.07817,2015,3
2015-04-30,1.07818,1.1266100000000001,1.0520399999999999,1.12084,2015,4
2015-05-31,1.12083,1.14667,1.08192,1.09499,2015,5
2015-06-30,1.09499,1.14362,1.0887200000000001,1.11399,2015,6
2015-07-31,1.11399,1.12158,1.0808200000000001,1.09826,2015,7
2015-08-31,1.0970600000000001,1.1714,1.0848,1.12694,2015,8
2015-09-30,1.1269200000000001,1.14599,1.1087200000000001,1.1147200000000002,2015,9
2015-10-31,1.11473,1.14953,1.0896700000000001,1.10041,2015,10
2015-11-30,1.10338,1.10525,1.05578,1.05741,2015,11
2015-12-31,1.05744,1.10594,1.05223,1.08545,2015,12
2016-01-31,1.08701,1.09845,1.0710600000000001,1.08479,2016,1
2016-02-29,1.08481,1.13765,1.08409,1.08816,2016,2
2016-03-31,1.08816,1.14119,1.0822100000000001,1.13776,2016,3
2016-04-30,1.13776,1.14648,1.1217700000000002,1.14509,2016,4
2016-05-31,1.14596,1.1616,1.1097700000000001,1.11237,2016,5
2016-06-30,1.1123399999999999,1.14283,1.0911600000000001,1.10903,2016,6
2016-07-31,1.1090200000000001,1.11972,1.0951899999999999,1.11782,2016,7
2016-08-31,1.11781,1.13662,1.10458,1.11555,2016,8
2016-09-30,1.11556,1.13269,1.11229,1.1238,2016,9
2016-10-31,1.12283,1.12432,1.0850899999999999,1.0961,2016,10
2016-11-30,1.0961,1.12991,1.0518,1.0602200000000002,2016,11
2016-12-31,1.06025,1.08732,1.03522,1.05224,2016,12
2017-01-31,1.05155,1.08121,1.03406,1.07905,2017,1
2017-02-28,1.07907,1.08287,1.0493700000000001,1.05524,2017,2
2017-03-31,1.05522,1.09061,1.04949,1.06522,2017,3
2017-04-30,1.0661100000000001,1.09507,1.05697,1.08931,2017,4
2017-05-31,1.0893,1.1268200000000002,1.08391,1.12468,2017,5
2017-06-30,1.12467,1.1445299999999998,1.1118700000000001,1.14257,2017,6
2017-07-31,1.14168,1.18455,1.1312200000000001,1.18261,2017,7
2017-08-31,1.1826299999999998,1.207,1.1662,1.19012,2017,8
2017-09-30,1.19013,1.2092,1.1717,1.18121,2017,9
2017-10-31,1.17903,1.1879600000000001,1.15743,1.16314,2017,10
2017-11-30,1.16314,1.19611,1.15541,1.19109,2017,11
2017-12-31,1.1911,1.20255,1.17175,1.20005,2017,12
2018-01-31,1.2003700000000002,1.25375,1.19156,1.24216,2018,1
2018-02-28,1.24215,1.2555,1.21834,1.2193399999999999,2018,2
2018-03-31,1.21935,1.2476200000000002,1.2154399999999999,1.23215,2018,3
2018-04-30,1.23186,1.24135,1.2055200000000001,1.2075799999999999,2018,4
2018-05-31,1.20757,1.2076799999999999,1.151,1.16819,2018,5
2018-06-30,1.1682,1.18516,1.1508200000000002,1.16815,2018,6
2018-07-31,1.1676,1.17906,1.15747,1.16796,2018,7
2018-08-31,1.16795,1.17331,1.13009,1.15973,2018,8
2018-09-30,1.1595,1.1814799999999999,1.1526,1.15961,2018,9
2018-10-31,1.15962,1.1624299999999999,1.13018,1.13462,2018,10
2018-11-30,1.13462,1.14996,1.12154,1.1314799999999998,2018,11
2018-12-31,1.135,1.14859,1.12696,1.14644,2018,12
2019-01-31,1.14598,1.15697,1.1289200000000001,1.1442,2019,1
2019-02-28,1.1442,1.1488399999999999,1.1234,1.13739,2019,2
2019-03-31,1.13739,1.1448,1.11764,1.12319,2019,3
2019-04-30,1.12321,1.13239,1.11111,1.12184,2019,4
2019-05-31,1.1218299999999999,1.12647,1.1107,1.1167799999999999,2019,5
2019-06-30,1.1160700000000001,1.14119,1.11601,1.13526,2019,6
2019-07-31,1.13526,1.13601,1.10335,1.10457,2019,7
2019-08-31,1.10456,1.12497,1.0963200000000002,1.0988,2019,8
2019-09-30,1.09893,1.11094,1.08847,1.08879,2019,9
2019-10-31,1.08876,1.1179299999999999,1.0879,1.1164100000000001,2019,10
2019-11-30,1.1164100000000001,1.11753,1.0981100000000001,1.1015,2019,11
2019-12-31,1.10229,1.12391,1.10029,1.12076,2019,12
