date,open,high,low,close,year,month,day,day_name
2004-08-19,1.2338,1.2381,1.2336,1.2379,2004.0,8.0,19.0,Thursday
2004-08-20,1.2378,1.2383,1.2281,1.2297,2004.0,8.0,20.0,Friday
2004-08-23,1.2298,1.2308,1.2134,1.2147,2004.0,8.0,23.0,Monday
2004-08-24,1.2133,1.215,1.2056,1.2071,2004.0,8.0,24.0,Tuesday
2004-08-25,1.2072,1.2117,1.2067,1.2078,2004.0,8.0,25.0,Wednesday
2004-08-26,1.2077,1.2124,1.2045,1.2117,2004.0,8.0,26.0,Thursday
2004-08-27,1.2118,1.2137,1.2001,1.2008,2004.0,8.0,27.0,Friday
2004-08-30,1.2007,1.2088,1.199,1.2088,2004.0,8.0,30.0,Monday
2004-08-31,1.2089,1.2198,1.2071,1.219,2004.0,8.0,31.0,Tuesday
2004-09-01,1.2191,1.2222,1.2146,1.2184,2004.0,9.0,1.0,Wednesday
2004-09-02,1.2183,1.2201,1.2143,1.2174,2004.0,9.0,2.0,Thursday
2004-09-03,1.2173,1.22,1.2044,1.2066,2004.0,9.0,3.0,Friday
2004-09-06,1.2065,1.2081,1.2049,1.2062,2004.0,9.0,6.0,Monday
2004-09-07,1.2063,1.2113,1.206,1.2105,2004.0,9.0,7.0,Tuesday
2004-09-08,1.2106,1.2201,1.2028,1.2196,2004.0,9.0,8.0,Wednesday
2004-09-09,1.2195,1.225,1.2159,1.2248,2004.0,9.0,9.0,Thursday
2004-09-10,1.2247,1.2312,1.22,1.2275,2004.0,9.0,10.0,Friday
2004-09-13,1.2275,1.2281,1.2225,1.2271,2004.0,9.0,13.0,Monday
2004-09-14,1.2272,1.2296,1.2228,1.2239,2004.0,9.0,14.0,Tuesday
2004-09-15,1.224,1.2263,1.2136,1.2153,2004.0,9.0,15.0,Wednesday
2004-09-16,1.2154,1.2199,1.2123,1.2192,2004.0,9.0,16.0,Thursday
2004-09-17,1.2193,1.2225,1.2155,1.2171,2004.0,9.0,17.0,Friday
2004-09-20,1.2172,1.2183,1.2127,1.218,2004.0,9.0,20.0,Monday
2004-09-21,1.2179,1.2348,1.2173,1.2325,2004.0,9.0,21.0,Tuesday
2004-09-22,1.2326,1.2334,1.2226,1.228,2004.0,9.0,22.0,Wednesday
2004-09-23,1.2279,1.2335,1.2256,1.2285,2004.0,9.0,23.0,Thursday
2004-09-24,1.2286,1.2363,1.2239,1.2282,2004.0,9.0,24.0,Friday
2004-09-27,1.2283,1.2315,1.225,1.2298,2004.0,9.0,27.0,Monday
2004-09-28,1.2297,1.2349,1.2282,1.2331,2004.0,9.0,28.0,Tuesday
2004-09-29,1.2332,1.2343,1.2291,1.2325,2004.0,9.0,29.0,Wednesday
2004-09-30,1.2324,1.2445,1.2316,1.2426,2004.0,9.0,30.0,Thursday
2004-10-01,1.2427,1.2434,1.2362,1.2364,2004.0,10.0,1.0,Friday
2004-10-04,1.2365,1.2381,1.226,1.2271,2004.0,10.0,4.0,Monday
2004-10-05,1.227,1.2329999999999999,1.2268,1.232,2004.0,10.0,5.0,Tuesday
2004-10-06,1.2319,1.2324,1.225,1.229,2004.0,10.0,6.0,Wednesday
2004-10-07,1.2291,1.2316,1.2277,1.2311,2004.0,10.0,7.0,Thursday
